[                                                  ] 0/256, elapsed: 0s, ETA:
[                                                  ] 1/256, 0.6 task/s, elapsed: 2s, ETA:   400s
[                                                  ] 2/256, 1.0 task/s, elapsed: 2s, ETA:   261s
[                                                  ] 3/256, 1.2 task/s, elapsed: 3s, ETA:   215s
[                                                  ] 4/256, 1.5 task/s, elapsed: 3s, ETA:   163s
[                                                  ] 5/256, 1.9 task/s, elapsed: 3s, ETA:   131s
[>                                                 ] 6/256, 2.3 task/s, elapsed: 3s, ETA:   110s
[>                                                 ] 7/256, 2.3 task/s, elapsed: 3s, ETA:   111s
[>                                                 ] 8/256, 2.2 task/s, elapsed: 4s, ETA:   111s
[>                                                 ] 9/256, 2.5 task/s, elapsed: 4s, ETA:   100s
[>                                                 ] 10/256, 2.4 task/s, elapsed: 4s, ETA:   101s
[>>                                                ] 11/256, 2.4 task/s, elapsed: 5s, ETA:   103s
[>>                                                ] 12/256, 2.6 task/s, elapsed: 5s, ETA:    95s
[>>                                                ] 13/256, 2.8 task/s, elapsed: 5s, ETA:    88s
[>>                                                ] 14/256, 3.0 task/s, elapsed: 5s, ETA:    81s
[>>                                                ] 15/256, 2.9 task/s, elapsed: 5s, ETA:    84s
[>>>                                               ] 16/256, 3.0 task/s, elapsed: 5s, ETA:    79s
[>>>                                               ] 17/256, 3.0 task/s, elapsed: 6s, ETA:    81s
[>>>                                               ] 18/256, 3.1 task/s, elapsed: 6s, ETA:    76s
[>>>                                               ] 19/256, 3.3 task/s, elapsed: 6s, ETA:    73s
[>>>                                               ] 20/256, 3.4 task/s, elapsed: 6s, ETA:    69s
[>>>>                                              ] 21/256, 3.6 task/s, elapsed: 6s, ETA:    66s
[>>>>                                              ] 22/256, 3.7 task/s, elapsed: 6s, ETA:    63s
[>>>>                                              ] 23/256, 3.6 task/s, elapsed: 6s, ETA:    65s
[>>>>                                              ] 24/256, 3.7 task/s, elapsed: 6s, ETA:    62s
[>>>>                                              ] 25/256, 3.8 task/s, elapsed: 6s, ETA:    60s
[>>>>>                                             ] 26/256, 4.0 task/s, elapsed: 7s, ETA:    58s
[>>>>>                                             ] 27/256, 4.1 task/s, elapsed: 7s, ETA:    56s
[>>>>>                                             ] 28/256, 4.3 task/s, elapsed: 7s, ETA:    54s
[>>>>>                                             ] 29/256, 4.4 task/s, elapsed: 7s, ETA:    52s
[>>>>>                                             ] 30/256, 4.3 task/s, elapsed: 7s, ETA:    53s
[>>>>>>                                            ] 31/256, 4.4 task/s, elapsed: 7s, ETA:    51s
[>>>>>>                                            ] 32/256, 4.5 task/s, elapsed: 7s, ETA:    50s
[>>>>>>                                            ] 33/256, 4.6 task/s, elapsed: 7s, ETA:    48s
[>>>>>>                                            ] 34/256, 4.7 task/s, elapsed: 7s, ETA:    47s
[>>>>>>                                            ] 35/256, 4.6 task/s, elapsed: 8s, ETA:    48s
[>>>>>>>                                           ] 36/256, 4.7 task/s, elapsed: 8s, ETA:    47s
[>>>>>>>                                           ] 37/256, 4.8 task/s, elapsed: 8s, ETA:    46s
[>>>>>>>                                           ] 38/256, 4.9 task/s, elapsed: 8s, ETA:    45s
[>>>>>>>                                           ] 39/256, 5.0 task/s, elapsed: 8s, ETA:    43s
